bus_hypothesis_id,region_id,direction,rank,role,member_nodes,ordered_member_nodes,width,bit_order,signedness_hypothesis,grouping_score,ordering_score,evidence_sources,used_ground_truth_for_generation,schema_version
arithmetic_affine_w6__identity__ground_truth_region__blind__output__01,arithmetic_affine_w6__identity__ground_truth_region,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8""]",9,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_affine_w6__identity__whole_output_cone__blind__input__01,arithmetic_affine_w6__identity__whole_output_cone,input,1,data_operand,"[""a_0"",""a_1"",""a_2"",""a_3"",""a_4"",""a_5""]","[""a_0"",""a_1"",""a_2"",""a_3"",""a_4"",""a_5""]",6,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_affine_w6__identity__whole_output_cone__blind__output__01,arithmetic_affine_w6__identity__whole_output_cone,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8""]",9,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_affine_w8__identity__ground_truth_region__blind__input__01,arithmetic_affine_w8__identity__ground_truth_region,input,1,data_operand,"[""a_0"",""a_1"",""a_2"",""a_3"",""a_4"",""a_5"",""a_6"",""a_7""]","[""a_0"",""a_1"",""a_2"",""a_3"",""a_4"",""a_5"",""a_6"",""a_7""]",8,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_affine_w8__identity__ground_truth_region__blind__output__01,arithmetic_affine_w8__identity__ground_truth_region,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9"",""y_10""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9"",""y_10""]",11,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_affine_w8__identity__whole_output_cone__blind__input__01,arithmetic_affine_w8__identity__whole_output_cone,input,1,data_operand,"[""a_0"",""a_1"",""a_2"",""a_3"",""a_4"",""a_5"",""a_6"",""a_7""]","[""a_0"",""a_1"",""a_2"",""a_3"",""a_4"",""a_5"",""a_6"",""a_7""]",8,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_affine_w8__identity__whole_output_cone__blind__output__01,arithmetic_affine_w8__identity__whole_output_cone,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9"",""y_10""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9"",""y_10""]",11,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_bilinear_w2__identity__ground_truth_region__blind__input__01,arithmetic_bilinear_w2__identity__ground_truth_region,input,1,data_operand,"[""a_0"",""a_1"",""b_0"",""b_1"",""c_0"",""c_1"",""d_0"",""d_1""]","[""a_0"",""a_1"",""b_0"",""b_1"",""c_0"",""c_1"",""d_0"",""d_1""]",8,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_bilinear_w2__identity__ground_truth_region__blind__output__01,arithmetic_bilinear_w2__identity__ground_truth_region,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_bilinear_w2__identity__whole_output_cone__blind__input__01,arithmetic_bilinear_w2__identity__whole_output_cone,input,1,data_operand,"[""a_0"",""a_1"",""b_0"",""b_1"",""c_0"",""c_1"",""d_0"",""d_1""]","[""a_0"",""a_1"",""b_0"",""b_1"",""c_0"",""c_1"",""d_0"",""d_1""]",8,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_bilinear_w2__identity__whole_output_cone__blind__output__01,arithmetic_bilinear_w2__identity__whole_output_cone,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__balance__whole_output_cone__blind__input__01,arithmetic_constant_multiply_w2__balance__whole_output_cone,input,1,control,"[""a_0""]","[""a_0""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__balance__whole_output_cone__blind__input__02,arithmetic_constant_multiply_w2__balance__whole_output_cone,input,2,control,"[""a_1""]","[""a_1""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__balance__whole_output_cone__blind__output__01,arithmetic_constant_multiply_w2__balance__whole_output_cone,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__compress2rs__whole_output_cone__blind__input__01,arithmetic_constant_multiply_w2__compress2rs__whole_output_cone,input,1,control,"[""a_0""]","[""a_0""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__compress2rs__whole_output_cone__blind__input__02,arithmetic_constant_multiply_w2__compress2rs__whole_output_cone,input,2,control,"[""a_1""]","[""a_1""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__compress2rs__whole_output_cone__blind__output__01,arithmetic_constant_multiply_w2__compress2rs__whole_output_cone,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__dc2__whole_output_cone__blind__input__01,arithmetic_constant_multiply_w2__dc2__whole_output_cone,input,1,control,"[""a_0""]","[""a_0""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__dc2__whole_output_cone__blind__input__02,arithmetic_constant_multiply_w2__dc2__whole_output_cone,input,2,control,"[""a_1""]","[""a_1""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__dc2__whole_output_cone__blind__output__01,arithmetic_constant_multiply_w2__dc2__whole_output_cone,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__identity__ground_truth_region__blind__input__01,arithmetic_constant_multiply_w2__identity__ground_truth_region,input,1,control,"[""a_0""]","[""a_0""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__identity__ground_truth_region__blind__input__02,arithmetic_constant_multiply_w2__identity__ground_truth_region,input,2,control,"[""a_1""]","[""a_1""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__identity__ground_truth_region__blind__output__01,arithmetic_constant_multiply_w2__identity__ground_truth_region,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__identity__whole_output_cone__blind__input__01,arithmetic_constant_multiply_w2__identity__whole_output_cone,input,1,control,"[""a_0""]","[""a_0""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__identity__whole_output_cone__blind__input__02,arithmetic_constant_multiply_w2__identity__whole_output_cone,input,2,control,"[""a_1""]","[""a_1""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__identity__whole_output_cone__blind__output__01,arithmetic_constant_multiply_w2__identity__whole_output_cone,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__refactor__whole_output_cone__blind__input__01,arithmetic_constant_multiply_w2__refactor__whole_output_cone,input,1,control,"[""a_0""]","[""a_0""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__refactor__whole_output_cone__blind__input__02,arithmetic_constant_multiply_w2__refactor__whole_output_cone,input,2,control,"[""a_1""]","[""a_1""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__refactor__whole_output_cone__blind__output__01,arithmetic_constant_multiply_w2__refactor__whole_output_cone,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__resub__whole_output_cone__blind__input__01,arithmetic_constant_multiply_w2__resub__whole_output_cone,input,1,control,"[""a_0""]","[""a_0""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__resub__whole_output_cone__blind__input__02,arithmetic_constant_multiply_w2__resub__whole_output_cone,input,2,control,"[""a_1""]","[""a_1""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__resub__whole_output_cone__blind__output__01,arithmetic_constant_multiply_w2__resub__whole_output_cone,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__resyn__whole_output_cone__blind__input__01,arithmetic_constant_multiply_w2__resyn__whole_output_cone,input,1,control,"[""a_0""]","[""a_0""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__resyn__whole_output_cone__blind__input__02,arithmetic_constant_multiply_w2__resyn__whole_output_cone,input,2,control,"[""a_1""]","[""a_1""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__resyn__whole_output_cone__blind__output__01,arithmetic_constant_multiply_w2__resyn__whole_output_cone,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__resyn2__whole_output_cone__blind__input__01,arithmetic_constant_multiply_w2__resyn2__whole_output_cone,input,1,control,"[""a_0""]","[""a_0""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__resyn2__whole_output_cone__blind__input__02,arithmetic_constant_multiply_w2__resyn2__whole_output_cone,input,2,control,"[""a_1""]","[""a_1""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__resyn2__whole_output_cone__blind__output__01,arithmetic_constant_multiply_w2__resyn2__whole_output_cone,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__rewrite__whole_output_cone__blind__input__01,arithmetic_constant_multiply_w2__rewrite__whole_output_cone,input,1,control,"[""a_0""]","[""a_0""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__rewrite__whole_output_cone__blind__input__02,arithmetic_constant_multiply_w2__rewrite__whole_output_cone,input,2,control,"[""a_1""]","[""a_1""]",1,scalar,unknown,0.500000,1.000000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w2__rewrite__whole_output_cone__blind__output__01,arithmetic_constant_multiply_w2__rewrite__whole_output_cone,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w3__balance__whole_output_cone__blind__input__01,arithmetic_constant_multiply_w3__balance__whole_output_cone,input,1,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w3__balance__whole_output_cone__blind__output__01,arithmetic_constant_multiply_w3__balance__whole_output_cone,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w3__compress2rs__whole_output_cone__blind__input__01,arithmetic_constant_multiply_w3__compress2rs__whole_output_cone,input,1,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w3__compress2rs__whole_output_cone__blind__output__01,arithmetic_constant_multiply_w3__compress2rs__whole_output_cone,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w3__dc2__whole_output_cone__blind__input__01,arithmetic_constant_multiply_w3__dc2__whole_output_cone,input,1,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w3__dc2__whole_output_cone__blind__output__01,arithmetic_constant_multiply_w3__dc2__whole_output_cone,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w3__identity__ground_truth_region__blind__input__01,arithmetic_constant_multiply_w3__identity__ground_truth_region,input,1,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w3__identity__ground_truth_region__blind__output__01,arithmetic_constant_multiply_w3__identity__ground_truth_region,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w3__identity__whole_output_cone__blind__input__01,arithmetic_constant_multiply_w3__identity__whole_output_cone,input,1,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
arithmetic_constant_multiply_w3__identity__whole_output_cone__blind__output__01,arithmetic_constant_multiply_w3__identity__whole_output_cone,output,1,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,interface_position_lsb_to_msb,unknown,0.500000,0.500000,"[""interface_position"",""structural_dependency_placeholder""]",false,blind_semantic_cegis_v1
